code,day,52주 최고,52주 최저,EPS,PER,거래대금(백만),거래량,고가,등락률(%),매도호가,매수호가,상장주식수,상한가,시가,시가총액,액면가,외국인현재,자본금,잔량합계,저가,전일가,전일대비,전일상한,전일하한,하한가,현재가
005930,2018.06.15,"2,876,000","48,200","5,421",8.79,"808,076","16,839,154","48,700",-1.14%,"47,700","47,650","6,419,324,700","62,600","48,500","3,058,808억원",100원,"3,395,277천주","778,046백만","174,531","47,650","48,200",하락550,"64,200","34,600","33,750","47,650"
000660,2018.06.15,"97,700","59,900","14,617",5.95,"255,711","2,936,604","87,800",+0.81%,"87,000","86,900","728,002,365","112,000","87,400","633,362억원","5,000원","367,847천주","3,657,652백만","257,665","86,100","86,300",상승700,"114,500","61,900","60,500","87,000"
068270,2018.06.15,"392,000","101,200","3,195",93.43,"536,055","1,825,018","300,000",+6.61%,"298,500","298,000","125,395,903","364,000","281,000","374,306억원","1,000원","27,225천주","125,395백만","184,395","280,000","280,000","상승18,500","354,500","191,500","196,000","298,500"
005490,2018.06.15,"400,000","263,500","32,001",11.41,"85,210","232,924","374,500",-1.22%,"365,000","364,500","87,186,835","480,000","374,500","318,231억원","5,000원","50,611천주","482,403백만","30,810","363,000","369,500","하락4,500","475,500","256,500","259,000","365,000"
005380,2018.06.15,"169,000","133,000","14,127",9.49,"98,712","732,530","136,500",-0.74%,"134,000","133,500","220,276,479","175,500","136,000","295,170억원","5,000원","99,113천주","1,157,982백만","222,454","133,000","135,000","하락1,000","182,500","98,500","94,500","134,000"
207940,2018.06.15,"600,000","226,500","-1,466",-278.31,"75,421","183,984","415,500",0.00%,"408,500","408,000","66,165,000","530,000","410,500","269,953억원","2,500원","6,336천주","165,412백만","12,237","406,000","408,000",0,"558,000","301,000","286,000","408,000"
051910,2018.06.15,"447,500","270,000","24,854",15.03,"99,414","264,303","380,000",+0.95%,"374,000","373,500","70,592,343","481,000","377,000","263,662억원","5,000원","27,484천주","352,961백만","25,387","372,500","370,000","상승3,500","494,500","266,500","259,000","373,500"
028260,2018.06.15,"151,500","121,000","3,344",36.48,"47,783","391,362","124,000",-0.41%,"122,000","121,500","189,690,043","159,000","123,500","231,421억원",100원,"21,220천주","18,969백만","110,773","121,000","122,500",하락500,"164,000","89,000","86,000","122,000"
105560,2018.06.15,"69,200","49,350","7,920",6.94,"74,164","1,356,696","55,900",-1.79%,"55,000","54,900","418,111,537","72,800","55,900","229,961억원","5,000원","291,443천주","2,090,557백만","140,859","53,800","56,000","하락1,000","73,900","39,900","39,200","55,000"
035420,2018.06.15,"975,000","648,000","23,447",29.43,"89,612","129,890","706,000",-2.4%,"690,000","689,000","32,962,679","919,000","705,000","227,442억원",500원,"19,451천주","16,481백만","22,034","687,000","707,000","하락17,000","932,000","502,000","495,000","690,000"
015760,2018.06.15,"45,700","30,600","2,023",17.3,"60,911","1,724,223","35,700",+1.3%,"35,000","34,950","641,964,077","44,900","34,500","224,687억원","5,000원","186,989천주","3,209,820백만","168,832","34,500","34,550",상승450,"45,550","24,550","24,200","35,000"
051900,2018.06.15,"1,469,000","842,000","34,240",41.56,"44,536","31,057","1,459,000",-1.25%,"1,424,000","1,423,000","15,618,197","1,873,000","1,459,000","222,246억원","5,000원","7,310천주","78,090백만","1,541","1,422,000","1,441,000","하락18,000","1,868,000","1,006,000","1,009,000","1,423,000"
055550,2018.06.15,"55,500","43,650","6,153",7.39,"70,957","1,555,197","46,300",-2.57%,"45,500","45,450","474,199,587","60,700","46,250","215,760억원","5,000원","331,835천주","2,370,997백만","96,587","45,150","46,700","하락1,200","61,400","33,100","32,700","45,500"
012330,2018.06.15,"283,000","212,000","16,109",13.59,"113,811","517,373","222,500",-1.79%,"219,000","218,500","97,343,863","289,500","222,500","213,183억원","5,000원","46,887천주","490,969백만","55,475","219,000","223,000","하락4,000","294,000","159,000","156,500","219,000"
032830,2018.06.15,"138,500","102,000","5,831",17.24,"62,310","618,158","104,000",-3.37%,"100,500","100,000","200,000,000","135,000","104,000","201,000억원",500원,"32,267천주","100,000백만","93,046","99,900","104,000","하락3,500","137,500","74,500","73,000","100,500"
096770,2018.06.15,"219,000","154,000","22,449",9.55,"57,248","266,851","216,000",+0.7%,"215,000","214,500","92,465,564","276,500","213,500","198,338억원","5,000원","38,053천주","462,327백만","80,948","212,500","213,000","상승1,500","279,500","150,500","149,500","214,500"
017670,2018.06.15,"288,000","219,000","32,198",7.28,"88,922","373,971","242,000",-2.9%,"234,500","234,000","80,745,711","313,500","241,500","189,348억원",500원,"33,670천주","44,639백만","81,809","234,500","241,500","하락7,000","320,000","173,000","169,500","234,500"
034730,2018.06.15,"331,000","255,000","23,650",11.37,"60,944","226,872","276,000",-2%,"269,000","268,500","70,360,297","356,500","275,000","189,269억원",200원,"17,670천주","15,272백만","26,332","266,000","274,500","하락5,500","366,500","197,500","192,500","269,000"
090430,2018.06.15,"356,000","236,500","5,709",53.95,"79,149","254,168","323,500",-4.05%,"308,000","307,500","58,458,490","417,000","323,500","180,052억원",500원,"19,996천주","29,229백만","17,750","306,000","321,000","하락13,000","421,000","227,000","225,000","308,000"
